ContentObjectId,OrgUnitId,Title,ContentObjectType,CompletionType,ParentContentObjectId,Location,StartDate,EndDate,DueDate,ObjectId1,ObjectId2,ObjectId3,LastModified,IsDeleted,SortOrder,Depth,ToolId,IsHidden,ResultId,DeletedDate,CreatedBy,LastModifiedBy,DeletedBy
1481,6710,Module 5: Science and Innovation,Module,Auto,0,,2024-01-01T00:00:00.0000000Z,2025-06-01T23:59:59.0000000Z,,,,,2024-11-26T20:33:39.0370000Z,0,62,1,,False,,,196,196,
1480,6710,Module 4: Mathematical Foundations,Module,Auto,0,,2024-01-01T00:00:00.0000000Z,2025-06-01T23:59:59.0000000Z,,,,,2024-11-26T20:33:38.8900000Z,0,60,1,,False,,,196,196,
1479,6710,Module 3: The Digital Revolution,Module,Auto,0,,2024-01-01T00:00:00.0000000Z,2025-06-01T23:59:59.0000000Z,,,,,2024-11-26T20:33:38.7700000Z,0,58,1,,False,,,196,196,
1478,6710,Module 2: A Journey Through History,Module,Auto,0,,2024-01-01T00:00:00.0000000Z,2025-06-01T23:59:59.0000000Z,,,,,2024-11-26T20:33:38.6630000Z,0,56,1,,False,,,196,196,
1477,6710,Module 1: Exploring the Natural World,Module,Auto,0,,2024-01-01T00:00:00.0000000Z,2025-06-01T23:59:59.0000000Z,,,,,2024-11-26T20:33:38.5430000Z,0,2,1,,False,,,196,196,
1476,6708,Module 3: Algorithms,Module,Auto,0,,2025-01-01T00:00:00.0000000Z,2025-06-30T23:59:59.0000000Z,,,,,2024-11-26T17:06:24.6270000Z,0,58,1,,False,,,196,196,
1475,6708,Module 2: Data Structures,Module,Auto,0,,2024-06-02T00:00:00.0000000Z,2024-12-31T23:59:59.0000000Z,,,,,2024-11-26T17:06:23.5830000Z,0,56,1,,False,,,196,196,
1474,6708,Module 1: Fundamentals of Computing,Module,Auto,0,,2024-01-01T00:00:00.0000000Z,2024-06-01T23:59:59.0000000Z,,,,,2024-11-26T17:06:09.0970000Z,0,2,1,,False,,,196,196,
1473,6688,Discussions,Topic,Auto,1467,discussions_bus100.html,,,,,,,2024-11-26T02:58:56.8730000Z,0,175,2,,False,,,1,,
1472,6688,Quizzes,Topic,Auto,1467,quizzes_bus100.html,,,,,,,2024-11-26T02:58:56.8370000Z,0,173,2,,False,,,1,,
1471,6688,Assignments,Topic,Auto,1467,assignments_bus100.html,,,,,,,2024-11-26T02:58:56.8100000Z,0,171,2,,False,,,1,,
1470,6688,Module 3: Marketing Basics,Topic,Auto,1467,module3_content.html,,,,,,,2024-11-26T02:58:56.7900000Z,0,169,2,,False,,,1,,
1469,6688,Module 2: Business Environments,Topic,Auto,1467,module2_content.html,,,,,,,2024-11-26T02:58:56.7700000Z,0,167,2,,False,,,1,,
1468,6688,Module 1: Introduction to Business,Topic,Auto,1467,module1_content.html,,,,,,,2024-11-26T02:58:56.7430000Z,0,165,2,,False,,,1,,
1467,6688,Introduction to Business,Module,Auto,0,,,,,,,,2024-11-26T02:58:56.7230000Z,0,164,1,,False,,,1,,
1466,6688,Discussions,Topic,Auto,1460,discussions_bus100.csv,,,,,,,2024-11-26T02:55:31.7200000Z,0,121,2,,False,,,1,,
1465,6688,Quizzes,Topic,Auto,1460,quizzes_bus100.csv,,,,,,,2024-11-26T02:55:31.6970000Z,0,119,2,,False,,,1,,
1464,6688,Assignments,Topic,Auto,1460,assignments_bus100.csv,,,,,,,2024-11-26T02:55:31.6730000Z,0,117,2,,False,,,1,,
1463,6688,Module 3: Marketing Basics,Topic,Auto,1460,module3_content.csv,,,,,,,2024-11-26T02:55:31.6530000Z,0,115,2,,False,,,1,,
1462,6688,Module 2: Business Environments,Topic,Auto,1460,module2_content.csv,,,,,,,2024-11-26T02:55:31.6200000Z,0,113,2,,False,,,1,,
1461,6688,Module 1: Introduction to Business,Topic,Auto,1460,module1_content.csv,,,,,,,2024-11-26T02:55:31.5930000Z,0,111,2,,False,,,1,,
1460,6688,Introduction to Business,Module,Auto,0,,,,,,,,2024-11-26T02:55:31.5730000Z,0,110,1,,False,,,1,,
1459,6688,Discussions,Topic,Auto,1453,discussions_bus100.csv,,,,,,,2024-11-26T02:51:26.6530000Z,1,67,2,,False,,2024-11-26T02:55:08.4100000Z,1,,196
1458,6688,Quizzes,Topic,Auto,1453,quizzes_bus100.csv,,,,,,,2024-11-26T02:51:26.6300000Z,1,65,2,,False,,2024-11-26T02:55:08.3900000Z,1,,196
1457,6688,Assignments,Topic,Auto,1453,assignments_bus100.csv,,,,,,,2024-11-26T02:51:26.6070000Z,1,63,2,,False,,2024-11-26T02:55:08.3800000Z,1,,196
1456,6688,Module 3: Marketing Basics,Topic,Auto,1453,module3_content.csv,,,,,,,2024-11-26T02:51:26.5800000Z,1,61,2,,False,,2024-11-26T02:55:08.3700000Z,1,,196
1455,6688,Module 2: Business Environments,Topic,Auto,1453,module2_content.csv,,,,,,,2024-11-26T02:51:26.5500000Z,1,59,2,,False,,2024-11-26T02:55:08.3600000Z,1,,196
1454,6688,Module 1: Introduction to Business,Topic,Auto,1453,module1_content.csv,,,,,,,2024-11-26T02:51:26.5270000Z,1,57,2,,False,,2024-11-26T02:55:08.3430000Z,1,,196
1453,6688,Introduction to Business,Module,Auto,0,,,,,,,,2024-11-26T02:51:26.5100000Z,1,56,1,,False,,2024-11-26T02:55:08.4200000Z,1,,196
1452,6688,Module 3: Marketing Basics,Topic,Auto,1449,module3_content.csv,,,,,,,2024-11-26T02:48:31.2670000Z,1,7,2,,False,,2024-11-26T02:50:41.1230000Z,1,,196
